0 0 1
0 0 2
0 0 3
0 1 4
0 2 5
0 2 6
0 3 7
0 3 8
0 4 9
0 5 10
0 5 11
0 7 12
0 8 13
0 9 14
0 10 15
0 11 16
0 11 17
0 13 18
0 14 19
0 14 20
0 14 21
0 16 22
0 16 23
0 17 24
0 18 25
0 18 26
0 22 27
0 23 28
0 23 29
0 26 30
0 27 31
0 29 32
0 30 33
0 32 34
0 33 35
0 34 36
0 36 37
1 0 1
1 1 2
1 1 3
1 2 4
1 3 5
1 3 6
1 4 7
1 4 8
1 5 9
1 5 10
1 6 11
1 8 12
1 8 13
1 8 14
1 9 15
1 10 16
1 10 17
1 11 18
1 15 19
1 15 20
1 16 21
1 17 22
1 17 23
1 17 24
1 18 25
1 18 26
1 19 27
1 19 28
1 19 29
1 20 30
1 21 31
1 23 32
1 23 33
1 24 34
1 25 35
1 26 36
1 26 37
1 27 38
1 27 39
1 28 40
1 28 41
1 30 42
1 30 43
1 31 44
1 31 45
1 32 46
1 33 47
1 34 48
1 35 49
1 36 50
1 36 51
1 37 39
1 37 52
1 38 53
1 38 54
1 38 55
1 40 56
1 40 57
1 40 58
1 42 59
1 43 56
1 45 60
1 45 61
1 46 62
1 47 63
1 47 64
1 49 65
1 51 66
1 52 67
1 52 68
1 53 69
1 53 70
1 53 71
1 54 71
1 55 72
1 57 73
1 59 74
1 60 75
1 63 76
1 64 77
1 64 78
1 65 79
1 66 80
1 66 81
1 67 82
1 68 83
1 69 84
1 72 73
2 0 1
2 1 2
2 1 3
2 1 4
2 1 5
2 3 6
2 3 7
2 4 8
2 4 9
2 4 10
2 5 11
2 5 12
2 6 13
2 6 14
2 7 15
2 9 16
2 9 17
2 10 18
2 10 19
2 13 20
2 13 21
2 14 22
2 15 23
2 15 24
2 17 19
2 17 25
2 17 26
2 19 27
2 20 28
2 21 29
2 21 30
2 22 31
2 23 32
2 24 33
2 25 34
2 25 35
2 25 36
2 26 37
2 26 38
2 27 39
2 28 40
2 31 41
2 32 42
2 33 43
2 35 44
2 37 44
2 37 45
2 38 46
2 39 47
2 40 48
2 40 49
2 41 50
2 42 51
2 43 52
2 43 53
2 44 54
2 45 55
2 45 56
2 45 57
2 46 58
2 46 59
2 46 60
2 46 61
2 47 62
2 48 63
2 50 64
2 52 65
2 53 66
2 53 67
2 53 68
2 54 69
2 55 70
2 55 71
2 56 70
3 0 1
3 0 2
3 1 3
3 2 4
3 3 5
3 3 6
3 4 7
3 5 8
3 6 9
3 6 10
3 9 11
3 11 12
3 11 13
3 12 14
3 13 15
3 15 16
3 15 17
3 16 18
3 16 19
3 18 20
3 18 21
3 19 22
3 20 23
3 21 24
3 21 25
3 22 26
3 22 27
3 23 28
3 24 29
3 25 30
3 25 31
3 25 32
3 26 29
3 26 33
3 27 34
3 27 35
3 27 36
3 29 37
3 29 38
3 30 39
3 32 40
3 32 41
3 33 42
3 34 43
3 36 44
3 36 45
3 36 46
3 38 47
3 39 41
3 39 48
3 39 49
3 39 50
3 40 51
3 40 52
3 41 53
3 42 54
3 42 55
3 43 56
3 44 57
3 48 58
3 49 50
3 49 59
3 49 60
3 50 61
